iter	Passed	Remaining
1419	36421	66173
1420	36451	66156
1421	36481	66138
1422	36501	66103
1423	36517	66059
1424	36532	66014
1425	36546	65968
1426	36558	65918
1427	36593	65909
1428	36630	65903
1429	36644	65857
1430	36667	65828
1431	36702	65818
1432	36717	65774
1433	36733	65731
1434	36748	65685
1435	36764	65643
1436	36779	65599
1437	36815	65591
1438	36830	65548
1439	36866	65540
1440	36895	65520
1441	36933	65516
1442	36966	65505
1443	37001	65495
1444	37033	65481
1445	37051	65442
1446	37086	65433
1447	37106	65398
1448	37138	65382
1449	37172	65372
1450	37201	65352
1451	37221	65316
1452	37251	65298
1453	37282	65283
1454	37313	65266
1455	37337	65238
1456	37369	65223
1457	37400	65206
1458	37423	65177
1459	37443	65141
1460	37463	65106
1461	37486	65075
1462	37506	65039
1463	37540	65029
1464	37575	65019
1465	37604	65000
1466	37633	64980
1467	37665	64965
1468	37694	64945
1469	37713	64907
1470	37736	64877
1471	37755	64840
1472	37785	64822
1473	37808	64792
1474	37843	64782
1475	37874	64766
1476	37904	64748
1477	37939	64737
1478	37969	64720
1479	38000	64702
1480	38032	64688
1481	38065	64674
1482	38096	64658
1483	38126	64641
1484	38157	64623
1485	38188	64606
1486	38219	64589
1487	38246	64566
1488	38277	64550
1489	38294	64510
1490	38327	64496
1491	38355	64474
1492	38384	64454
1493	38413	64433
1494	38442	64414
1495	38461	64377
1496	38489	64354
1497	38503	64309
1498	38533	64290
1499	38562	64270
1500	38585	64240
1501	38599	64195
1502	38618	64158
1503	38632	64113
1504	38663	64097
1505	38691	64075
1506	38706	64032
1507	38736	64012
1508	38750	63968
1509	38781	63951
1510	38814	63937
1511	38846	63922
1512	38861	63878
1513	38890	63859
1514	38921	63842
1515	38952	63824
1516	38983	63807
1517	39005	63776
1518	39036	63758
1519	39065	63739
1520	39095	63719
1521	39124	63698
1522	39153	63678
1523	39184	63661
1524	39213	63641
1525	39244	63623
1526	39258	63579
1527	39288	63560
1528	39316	63538
1529	39346	63519
1530	39376	63501
1531	39404	63478
1532	39434	63460
1533	39465	63443
1534	39495	63424
1535	39510	63380
1536	39524	63337
1537	39554	63317
1538	39569	63274
1539	39597	63253
1540	39626	63232
1541	39655	63211
1542	39686	63194
1543	39715	63174
1544	39745	63155
1545	39775	63136
1546	39809	63123
1547	39845	63114
1548	39883	63107
1549	39911	63085
1550	39946	63074
1551	39983	63066
1552	40019	63057
1553	40053	63044
1554	40091	63037
1555	40128	63029
1556	40163	63018
1557	40200	63009
1558	40235	62998
1559	40270	62986
1560	40309	62981
1561	40343	62968
1562	40366	62938
1563	40403	62930
1564	40441	62923
1565	40480	62918
1566	40508	62896
1567	40544	62885
1568	40572	62862
1569	40609	62853
1570	40633	62825
1571	40670	62817
1572	40693	62786
1573	40721	62764
1574	40758	62755
1575	40793	62743
1576	40832	62738
1577	40868	62726
1578	40904	62716
1579	40941	62707
1580	40977	62696
1581	41004	62672
1582	41039	62661
1583	41062	62630
1584	41100	62623
1585	41123	62593
1586	41152	62570
1587	41170	62534
1588	41194	62504
1589	41226	62488
1590	41262	62477
1591	41286	62447
1592	41324	62441
1593	41362	62433
1594	41390	62410
1595	41425	62398
1596	41460	62384
1597	41488	62361
1598	41516	62339
1599	41551	62327
1600	41587	62316
1601	41624	62307
1602	41658	62293
1603	41695	62282
1604	41719	62253
1605	41751	62236
1606	41790	62231
1607	41827	62221
1608	41863	62210
1609	41902	62202
1610	41938	62192
1611	41967	62170
1612	41991	62141
1613	42027	62130
1614	42063	62118
1615	42095	62101
1616	42124	62079
1617	42163	62072
1618	42191	62049
1619	42226	62036
1620	42260	62021
1621	42288	61999
1622	42312	61969
1623	42336	61940
1624	42369	61924
1625	42388	61887
1626	42421	61872
1627	42439	61834
1628	42468	61813
1629	42492	61782
1630	42518	61756
1631	42545	61732
1632	42578	61716
1633	42605	61692
1634	42629	61663
1635	42648	61626
1636	42678	61606
1637	42704	61580
1638	42727	61549
1639	42757	61528
1640	42785	61505
1641	42818	61489
1642	42851	61472
1643	42874	61442
1644	42900	61416
1645	42931	61397
1646	42954	61367
1647	42977	61336
1648	42995	61299
1649	43018	61268
1650	43046	61244
1651	43072	61219
1652	43100	61195
1653	43130	61175
1654	43164	61161
1655	43192	61137
1656	43211	61101
1657	43229	61063
1658	43247	61025
1659	43270	60995
1660	43293	60964
1661	43321	60942
1662	43349	60918
1663	43380	60898
1664	43402	60867
